state,year,population
Virginia,2019,8535519
Vermont,2012,626090
Mississippi,2012,2983816
Rhode Island,2015,1056065
Illinois,2018,12723071
Mississippi,2015,2988471
Texas,2013,26480266
Texas,2010,25241971
Oregon,2017,4143625
District of Columbia,2020,705749
Rhode Island,2014,1055936
Indiana,2016,6634304
Puerto Rico,2018,3193354
Georgia,2015,10178447
Wisconsin,2019,5822434
Rhode Island,2017,1055673
Texas,2012,26084481
Kentucky,2010,4348181
Delaware,2018,965479
Delaware,2012,915179
Missouri,2010,5995974
Washington,2018,7523869
District of Columbia,2016,685815
Arkansas,2010,2921964
Washington,2010,6742830
Utah,2011,2814384
New Jersey,2011,8828117
Colorado,2013,5269035
Pennsylvania,2013,12776309
Louisiana,2018,4659690
Tennessee,2013,6494340
Michigan,2010,9877510
Michigan,2016,9950571
Colorado,2011,5121108
South Carolina,2013,4764080
Oklahoma,2010,3759944
West Virginia,2013,1853914
Massachusetts,2011,6613583
Oklahoma,2011,3788379
Minnesota,2016,5522744
Montana,2014,1021869
Wyoming,2012,576305
Louisiana,2012,4600972
Maine,2019,1344212
Missouri,2013,6040715
California,2014,38596972
Alabama,2017,4874486
Iowa,2010,3050745
Missouri,2017,6106670
Massachusetts,2015,6794228
South Carolina,2011,4671994
Minnesota,2015,5482032
Nebraska,2018,1925614
New Mexico,2016,2091630
Alabama,2020,4903185
Minnesota,2011,5346143
Rhode Island,2012,1054621
West Virginia,2010,1854239
Illinois,2015,12858913
Wisconsin,2018,5807406
Florida,2011,19053237
Tennessee,2016,6646010
North Carolina,2017,10268233
Colorado,2017,5611885
New York,2015,19654666
West Virginia,2011,1856301
Texas,2019,28995881
Puerto Rico,2019,3193694
Vermont,2010,625879
Idaho,2015,1651059
New York,2020,19453561
New York,2014,19651049
Kansas,2013,2893212
Ohio,2018,11676341
Washington,2011,6826627
Missouri,2011,6010275
Indiana,2017,6658078
Maryland,2013,5923188
Montana,2013,1013569
Mississippi,2010,2970548
Kansas,2012,2885257
South Dakota,2012,833566
New Jersey,2014,8864525
Louisiana,2019,4648794
Tennessee,2010,6355311
Delaware,2010,899593
Alaska,2010,713910
Wisconsin,2014,5751525
Kentucky,2018,4461153
Illinois,2019,12671821
Missouri,2018,6121623
Wisconsin,2012,5719960
Oklahoma,2012,3818814
New Jersey,2015,8867949
California,2020,39512223
Texas,2017,28295273
Wyoming,2017,578931
Missouri,2012,6024367
Texas,2018,28628666
Nebraska,2017,1915947
Virginia,2014,8310993
Maine,2018,1339057
North Dakota,2010,674715
Maryland,2012,5886992
North Carolina,2020,10488084
District of Columbia,2010,605226
North Carolina,2012,9749476
New Hampshire,2017,1348787
Illinois,2011,12867454
Missouri,2016,6087135
Tennessee,2014,6541223
Maryland,2017,6023868
Massachusetts,2020,6892503
Pennsylvania,2017,12787641
Montana,2010,990697
New York,2019,19453561
Connecticut,2012,3594547
North Carolina,2010,9574323
New Jersey,2016,8870827
Wisconsin,2015,5760940
Hawaii,2014,1414538
New York,2018,19530351
Tennessee,2012,6453898
West Virginia,2017,1817004
Iowa,2019,3155070
Alabama,2018,4887681
Nevada,2015,2866939
Michigan,2012,9897145
Vermont,2016,623657
Washington,2012,6897058
Nevada,2018,3027341
Tennessee,2015,6591170
Arkansas,2013,2959400
Kentucky,2014,4414349
Idaho,2014,1631112
North Dakota,2015,754066
Missouri,2020,6137428
New Jersey,2013,8856972
Oregon,2018,4181886
West Virginia,2016,1831023
South Dakota,2014,849129
South Dakota,2015,853988
Utah,2015,2981835
Virginia,2020,8535519
Washington,2014,7054655
Hawaii,2015,1422052
Louisiana,2015,4664628
Vermont,2017,624344
New Jersey,2018,8886025
Alaska,2019,731545
Connecticut,2016,3578141
Puerto Rico,2012,3634488
Michigan,2019,9986857
Pennsylvania,2012,12767118
Georgia,2014,10067278
Washington,2016,7294771
Louisiana,2017,4670560
Illinois,2013,12895129
Tennessee,2020,6829174
Utah,2018,3153550
Wyoming,2015,585613
Indiana,2015,6608422
Rhode Island,2010,1053959
Virginia,2015,8361808
District of Columbia,2012,634924
Illinois,2014,12884493
Georgia,2017,10410330
Maryland,2020,6045680
Tennessee,2011,6399291
Alabama,2013,4830081
Massachusetts,2013,6713315
New Mexico,2014,2089568
Puerto Rico,2017,3325286
Michigan,2013,9913065
Mississippi,2016,2987938
Iowa,2013,3092997
Colorado,2016,5539215
New Hampshire,2010,1316762
Alaska,2015,737498
Ohio,2015,11617527
Maryland,2016,6003323
District of Columbia,2018,701547
Alaska,2018,735139
Michigan,2014,9929848
Idaho,2017,1717715
Massachusetts,2019,6892503
Maryland,2015,5985562
Florida,2010,18845537
California,2010,37319502
Kansas,2010,2858190
Alabama,2016,4863525
Iowa,2020,3155070
Kansas,2014,2900475
Wisconsin,2020,5822434
Vermont,2015,625216
South Dakota,2013,842316
Oregon,2015,4015792
New Mexico,2011,2080450
Massachusetts,2018,6882635
Hawaii,2018,1420593
Oklahoma,2020,3956971
Iowa,2017,3141550
Minnesota,2020,5639632
North Carolina,2011,9657592
Oregon,2012,3899001
New Hampshire,2013,1326622
Alaska,2017,739700
Hawaii,2011,1379329
South Dakota,2018,878698
Maine,2015,1328262
Idaho,2018,1750536
California,2011,37638369
Idaho,2010,1570746
Maine,2011,1328284
West Virginia,2020,1792147
New Jersey,2019,8882190
Colorado,2014,5350101
Connecticut,2020,3565287
Idaho,2012,1595324
Indiana,2018,6695497
Oregon,2010,3837491
Indiana,2012,6537703
Minnesota,2012,5376643
Mississippi,2011,2978731
Arizona,2010,6407172
Illinois,2010,12840503
Hawaii,2013,1408243
North Dakota,2018,758080
Iowa,2011,3066336
California,2017,39358497
North Carolina,2013,9843336
Washington,2020,7614893
District of Columbia,2015,675400
Iowa,2018,3148618
South Carolina,2014,4823617
Colorado,2010,5047349
Arkansas,2011,2940667
Alaska,2013,737068
Arizona,2011,6472643
Kentucky,2012,4386346
Nebraska,2016,1905616
North Dakota,2013,722036
Oregon,2020,4217737
Colorado,2020,5758736
New York,2016,19633428
Utah,2019,3205958
Maine,2010,1327629
Kansas,2020,2913314
Florida,2013,19545621
Georgia,2011,9802431
New Mexico,2012,2087309
Montana,2020,1068778
Pennsylvania,2014,12788313
Nevada,2014,2817628
Arizona,2015,6829676
Ohio,2010,11539336
Virginia,2012,8185080
Missouri,2019,6137428
Tennessee,2017,6708799
Maine,2014,1330513
Florida,2016,20613477
Arizona,2017,7044008
Kentucky,2015,4425976
Iowa,2012,3076190
New Mexico,2015,2089291
South Carolina,2016,4957968
Texas,2016,27914410
Rhode Island,2011,1053649
New Mexico,2013,2092273
Arizona,2013,6632764
Virginia,2011,8101155
Arizona,2019,7278717
Michigan,2011,9882412
Hawaii,2020,1415872
Wisconsin,2010,5690475
Maryland,2018,6035802
Montana,2012,1003783
Pennsylvania,2010,12711160
Delaware,2015,941252
North Carolina,2014,9932887
New Jersey,2012,8844942
Maine,2017,1334612
Pennsylvania,2015,12784826
Minnesota,2014,5451079
Ohio,2011,11544663
Utah,2014,2936879
Michigan,2020,9986857
Washington,2013,6963985
Idaho,2016,1682380
Texas,2015,27470056
Mississippi,2018,2981020
Nebraska,2020,1934408
California,2012,37948800
Nebraska,2019,1934408
Louisiana,2014,4644013
Colorado,2012,5192647
Wyoming,2016,584215
Alaska,2014,736283
Maryland,2010,5788645
New Hampshire,2018,1353465
North Dakota,2019,762062
Maine,2013,1328009
Arkansas,2020,3017804
New York,2010,19399878
Louisiana,2020,4648794
California,2015,38918045
Texas,2011,25645629
Montana,2015,1030475
New York,2012,19572932
South Dakota,2020,884659
South Dakota,2019,884659
New Hampshire,2014,1333341
South Carolina,2019,5148714
New Jersey,2010,8799446
Kentucky,2011,4369821
New Mexico,2018,2092741
Washington,2015,7163657
Connecticut,2017,3573297
Wyoming,2011,567299
Puerto Rico,2016,3406672
Alabama,2014,4841799
Michigan,2017,9973114
Arkansas,2018,3009733
Minnesota,2019,5639632
Kentucky,2016,4438182
Minnesota,2017,5566230
Oregon,2013,3922468
Mississippi,2013,2988711
Utah,2017,3101042
West Virginia,2018,1804291
North Dakota,2012,701176
Tennessee,2018,6771631
Alaska,2011,722128
Nevada,2013,2775970
Arizona,2012,6554978
Connecticut,2013,3594841
Massachusetts,2012,6663005
Indiana,2010,6490432
Idaho,2011,1583910
District of Columbia,2013,650581
North Dakota,2017,754942
Mississippi,2019,2976149
South Carolina,2020,5148714
Illinois,2012,12882510
Georgia,2020,10617423
North Carolina,2019,10488084
Vermont,2019,623989
Delaware,2013,923576
Nevada,2019,3080156
New Hampshire,2012,1324232
New Mexico,2010,2064552
New Jersey,2017,8885525
Wyoming,2020,578759
Oklahoma,2019,3956971
Hawaii,2017,1424393
Indiana,2020,6732219
Oklahoma,2018,3940235
South Carolina,2010,4635649
Iowa,2014,3109350
North Dakota,2016,754434
Mississippi,2014,2990468
Oregon,2016,4089976
Louisiana,2013,4624527
Wisconsin,2016,5772628
North Carolina,2015,10031646
Illinois,2017,12778828
District of Columbia,2017,694906
Kentucky,2013,4404659
Louisiana,2010,4544532
Alabama,2011,4799069
Virginia,2017,8463587
West Virginia,2014,1849489
South Dakota,2017,872868
Arkansas,2015,2978048
Nebraska,2012,1853303
Wyoming,2013,582122
Florida,2020,21477737
Nevada,2010,2702405
District of Columbia,2011,619800
Puerto Rico,2014,3534874
